Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Fax,Open Hours,URL,Provider,Updated Date,Country,Status,Direction URL,Stock Ticker,Photo Reference,
2,Northwell Labs - Bethpage,40.72619,-73.48908,"166 Hicksville Road Bethpage, NY 11714",,,NY,,,(516) 520-2978,(516) 520-6638,"Mon-Wed-Thurs-Fri 7am–5pm, Tues 7am–7pm, Sat 7am–1pm",,,,,,,,,
3,Northwell Labs - Cedarhurst,40.62504,-73.71921,"674 Central Ave. Cedarhurst, NY 11516",,,NY,,,(516) 881-7448,(516) 881-7451,"Mon-Tues-Wed 7am–4pm, Thurs 7am–7pm, Fri 7am–3pm, Sat 8am–12pm, Sun 7am–1pm",,,,,,,,,
4,Northwell Labs - Garden City,40.73481,-73.60197,"877 Stewart Ave., Ste. 15 Garden City, NY 11530",,,NY,,,(516) 280-3690,(516) 280-3692,"Mon-Tues-Wed-Fri 7am–4pm Thurs 7am–7pm, Sat 7am–1pm",,,,,,,,,
5,Northwell Labs - Glen Cove,40.87406,-73.62318,"10 Medical Plaza, Ste. 104 Glen Cove, NY 11542",,,NY,,,(516) 674-7906,(516) 674-1888,Mon 7am–7pm Tues-Fri 7am–4pm Sat 7am–1pm,,,,,,,,,
6,Northwell Labs - Great Neck,40.78453,-73.71086,"800 Northern Blvd. Ste. 5 Great Neck, NY 11021",,,NY,,,(516) 869-8462,(516) 869-8465,"Mon-Fri 7am–5pm, Sat 7am–1pm",,,,,,,,,
7,Northwell Labs - Lake Success,40.75889,-73.70753,"1983 Marcus Ave., Ste. E134 Lake Success, NY 11042",,,NY,,,(516) 439-5640,(516) 439-5641,Mon-Wed–Thurs-Fri 8am–4pm Tues 8am–8pm,,,,,,,,,
8,Northwell Labs - Massapequa,40.6670615,-73.4455976,"5165 Merrick Road Massapequa, NY 11762",,,NY,,,(516) 858-2798,(516) 858-4103,Mon-Fri 8am–8pm Sat & Sun 9am–5pm,,,,,,,,,
9,Northwell Labs - Plainview,40.78543091,-73.50334167,"377 S. Oyster Bay Road Plainview, NY 11803",,,NY,,,(516) 858-4126,(516) 473-0759,Mon-Fri 8am–8pm Sat & Sun 9am–5pm,,,,,,,,,
10,Northwell Labs - Syosset,40.81027985,-73.50453186,"175 Jericho Tpke., Ste 304 Syosset, NY 11791",,,NY,,,(516) 802-3380,(516) 802-3382,Mon 6am–7pm Tues-Fri 6am–4pm Sat 6am–1pm,,,,,,,,,
11,Northwell Labs - Babylon,40.6917697,-73.3347627,"400 West Main Street, Ste 106 Babylon, NY 11702",,,NY,,,(631) 620-3296,(631) 620-3299,Mon-Fri 7am–3pm Sat 7am–1pm,,,,,,,,,
12,Northwell Labs - Bay Shore,40.72239,-73.246838,"180 E Main Street, 1st Floor Bay Shore, NY 11706",,,NY,,,(631) 206-1030,(631) 206-1051,"Mon-Tues-Thurs-Fri 6am–4pm, Wed 6am–7pm, Sat 6am–1pm",,,,,,,,,
13,Northwell Labs - Huntington,40.8812677,-73.3976684,"195 East Main Street Huntington, NY 11743",,,NY,,,(631) 683-5410,(631) 683-5413,"Mon- Fri 7am–3pm, Sat 7am–1pm",,,,,,,,,
14,Northwell Labs - Huntington Station,40.854111,-73.394848,"180 East Pulaski Road, West Wing (Lower Level) Ste. B Huntington Station, NY 11746",,,NY,,,(631) 923-2750,(631) 923-2753,"Mon-Fri 7am–5pm, Sat 8am–1pm",,,,,,,,,
15,Northwell Labs - Melville,40.7664112,-73.4251053,"1895 Walt Whitman Rd, Ste. 3 Melville, NY 11747",,,NY,,,(631) 393-2838,(631) 393-2841,Mon-Sat 7am–1pm,,,,,,,,,
