Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Fax,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,Massapequa - Massapequa,40.6670615,-73.4455976,"5165 Merrick Road Massapequa, NY 11762",,,NY,,,(516) 858-2798,(516) 858-4103,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
2,Enzo - Chinatown,40.717049,-74.0011905,"210 Canal St. Suite 409, New York, NY 10013",210 Canal St. Suite 409,New York,NY,10013,New York,212-393-1142,212-393-1145,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
3,Enzo - Upper East Side,40.744391,-73.976757,"44 East 67th St., New York, NY 10065",44 East 67th St.,New York,NY,10065,New York,212-472-7863,212-472-7846,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
4,Enzo - Poughkeepsie,41.6503812,-73.9414161,"159 Barnegat Road (1st Floor), Poughkeepsie, NY 12601",159 Barnegat Road (1st Floor),Poughkeepsie,NY,12601,Dutchess,845-849-1252,845-849-1253,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
5,Enzo - Fifth Ave,40.7479604,-73.9867486,"347 Fifth Ave Suite 705, New York, NY 10016",347 Fifth Ave Suite 705,New York,NY,10016,New York,917-261-6059,917-261-6162,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
6,Enzo - Upper West Side,40.775982,-73.9787232,"115 Central Park West Door 10, New York, NY 10023",115 Central Park West Door 10,New York,NY,10023,New York,212-362-1722,212-362-1723,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
7,Enzo - Astoria,40.7666852,-73.9235125,"30-16 30th Dr. (Lower CR Level), Astoria, NY 11106",30-16 30th Dr. (Lower CR Level),Astoria,NY,11106,Queens,718-204-0589,718-204-0597,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
8,Enzo - Rego Park,40.7344663,-73.8681559,"94-19 60th Avenue Unit D1/D2, Elmhurst, NY 11373",94-19 60th Avenue Unit D1/D2,Elmhurst,NY,11373,Queens,718-271-1084,718-271-1204,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
9,Enzo - Brooklyn,40.6363971,-74.0064838,"849 57th Street. Ground Floor, Brooklyn, NY 11220",849 57th Street. Ground Floor,Brooklyn,NY,11220,Kings,347-529-3824,347-529-3823,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
10,Enzo - Far Rockaway,40.604847,-73.7530347,"11-24 Foam Pl., Far Rockaway, NY 11691",11-24 Foam Pl.,Far Rockaway,NY,11691,Queens,718-471-8780,718-471-8789,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
11,Enzo - Canarsie,40.6390293,-73.9079005,"8707 Flatlands Ave. Lower Level, Brooklyn, NY 11236",8707 Flatlands Ave. Lower Level,Brooklyn,NY,11236,Kings,631-861-3269,,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
12,Enzo - Riverdale,40.8800443,-73.9099757,"3050 Corlear Ave. Suite 203, Riverdale, NY 10463",3050 Corlear Ave. Suite 203,Riverdale,NY,10463,Bronx,718-708-6198,718-708-6199,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
13,Enzo - Richmond Road,40.5851383,-74.1079928,"1870 Richmond Road Side Entrance, Staten Island, NY 10306",1870 Richmond Road Side Entrance,Staten Island,NY,10306,Richmond,718-351-4111,718-351-4332,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
14,Enzo - Victory Boulevard,40.6116852,-74.1403413,"2246 Victory Blvd, Staten Island, NY 10314",2246 Victory Blvd,Staten Island,NY,10314,Richmond,347-861-0874,347-861-7428,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
15,Enzo - East Meadow,40.7236355,-73.5472918,"30 Newbridge Rd. Suite. # LL2, East Meadow, NY 11554",30 Newbridge Rd. Suite. # LL2,East Meadow,NY,11554,Nassau,516-605-0384,516-605-0385,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
16,Enzo - Richmond Avenue,40.5379816,-74.160889,"4131 Richmond Avenue, Staten Island, NY 10312",4131 Richmond Avenue,Staten Island,NY,10312,Richmond,347-983-4861,347-983-4862,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
17,Enzo - Great Neck,40.7809199,-73.7189895,"560 Northern Blvd. Suite 110, Great Neck, NY 11021",560 Northern Blvd. Suite 110,Great Neck,NY,11021,Nassau,516-773-3589,516-773-3594,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
18,Enzo - Massapequa,40.6840951,-73.4683791,"596 Broadway, Massapequa, NY 11758",596 Broadway,Massapequa,NY,11758,Nassau,516-799-7077,516-799-2364,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
19,Enzo - Rockville Centre,40.6559695,-73.6433927,"371 Merrick Road Suite 404, Rockville Centre, NY 11570",371 Merrick Road Suite 404,Rockville Centre,NY,11570,Nassau,516-992-2952,516-992-2957,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
20,Enzo - Bay Shore,40.7278469,-73.2376025,"16 Brentwood Rd., Bay Shore, NY 11706",16 Brentwood Rd.,Bay Shore,NY,11706,Suffolk,631-665-4271,631-665-4297,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
21,Enzo - Plainview,40.7733862,-73.4890271,"760 Old Country Rd, Plainview, NY 11803",760 Old Country Rd,Plainview,NY,11803,Nassau,516-931-7767,516-931-6244,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
22,Enzo - Coram,40.8708804,-72.9969848,"248-260 Middle Country Rd., Coram, NY 11784",248-260 Middle Country Rd.,Coram,NY,11784,Suffolk,631-732-4030,631-732-4772,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
23,Enzo - Deer Park,40.8048208,-73.4415497,"16 Van Cott Road., Deer Park, NY 11729",16 Van Cott Road.,Deer Park,NY,11729,Suffolk,631-392-4586,631-392-4587,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
24,Enzo - Holbrook,40.8123784,-73.0865255,"233 Union Ave. Suite 107, Holbrook, NY 11741",233 Union Ave. Suite 107,Holbrook,NY,11741,Suffolk,631-467-0300,631-467-0088,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
25,Enzo - Port Jeffersion Station,40.9305234,-73.0451607,"12 Medical Dr. Suite C, Port Jefferson Station, NY 11776",12 Medical Dr. Suite C,Port Jefferson Station,NY,11776,Suffolk,631-473-0452,631-473-1380,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
26,Enzo - Southold,41.0645928,-72.4300837,"54075 Main Rd., Southold, NY 11971",54075 Main Rd.,Southold,NY,11971,Suffolk,631-765-6248,631-765-9354,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
27,Enzo - Farmingdale,40.7200473,-73.4299703,"60 Executive Blvd., Farmingdale, NY 11735",60 Executive Blvd.,Farmingdale,NY,11735,Suffolk,631-755-5500,631-715-3256,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
28,Enzo - Patchogue,40.7678485,-73.0170036,"119 North Ocean Ave., Patchogue, NY 11772",119 North Ocean Ave.,Patchogue,NY,11772,Suffolk,631-207-9415,631-207-9418,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
29,Enzo - Ridge,40.9128281,-72.903626,"679 Whiskey Rd., Ridge, NY 11961",679 Whiskey Rd.,Ridge,NY,11961,Suffolk,631-744-1279,631-209-1360,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
30,Enzo - Shelton,41.215232,-73.3358579,"4 Corporate Drive. Suite 283, Shelton, CT 06484",4 Corporate Drive. Suite 283,Shelton,CT,6484,Fairfield,203-513-8587,475-269-2914,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
31,Enzo - Blairstown,40.9777895,-75.085997,"210 Route 94, Columbia, NJ 07832",210 Route 94,Columbia,NJ,7832,Sussex,908-362-0002,908-362-0003,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,7:00am-12:00pm&12:30pm-3:30pm,8:00am-12:00pm,
