Service Code,Price
$21.82,0019894
$8.00,0000498
$5.24,0000799
$19.85,0000871
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0090801
$7.25,0091431
$8.00,0000498
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$135.00,0016185
$35.75,0090801
$19.25,0090849
$7.25,0091431
$8.00,0000498
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$5.24,0036126
$328.78,0040085
$35.75,0090801
$19.25,0090849
$7.25,0091431
$8.00,0000498
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.65,0005463
$30.00,0011363
$35.75,0019550
$19.95,UR1P
$44.58,0000395
$8.00,0000498
$5.24,0000799
$5.65,0003020
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0019550
$7.25,0091431
$19.95,1UR
$23.57,1UR1
$5.24,0000799
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0090801
$7.25,0091431
$14.80,0000367
$8.00,0003259
$9.80,0004021
$16.80,0018944
$21.82,0019894
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0090801
$7.25,0091431
$8.00,0000498
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
$35.75,0019550
$7.25,0091431
$8.00,0000498
$14.98,0000512
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$8.00,0000498
$5.24,0000799
$5.65,0005463
$12.50,0006447
$10.27,0008472
$30.00,0011363
$35.75,0090801
$7.25,0091431
$5.24,0000799
$8.00,0003259
$12.50,0006447
$19.25,0090849
$5.24,0000799
$8.00,0003259
$5.65,0005463
$12.50,0006447
$30.00,0011363
