Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Fax,Open Hours,URL,Provider,Updated Date,Country,Status,Direction URL,Stock Ticker,Photo Reference,Allergy Region
24278,Labcorp Abbeville,30.194472,-92.011281,"217 La Rue France, Abbeville, LA, 70510",217 La Rue France,Abbeville,LA,70510,Vermilion Parish,337-233-5711,337-232-8464,mon - fri 7:00am-04:00p | drug screens 9:00am-3:00pm saturday hrs. 9:00-12:noon no drug scrns,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/217+La+Rue+France,+Abbeville,+LA,+70510,+USA/",LH:NYSE,,17
31215,Labcorp Aberdeen,46.981164,-123.846388,"1020 Anderson Dr Suite 201, Aberdeen, WA, 98520",1020 Anderson Dr Suite 201,Aberdeen,WA,98520,Grays Harbor,360-533-4530,360-533-2343,monday-friday 7:30am-4:30pm lunch 12:00p-1:00pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/1020+Anderson+Dr+Suite+201,+Aberdeen,+WA,+98520,+USA/",LH:NYSE,,1
30059,Labcorp Abilene,32.37462,-99.746395,"8 Hospital Drive, Abilene, TX, 79606",8 Hospital Drive,Abilene,TX,79606,Taylor,325-793-9960,325-793-9281,monday-friday 7:30am-4:30pm lunch 12:30-1:30 drug screen 8-12 2-4pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/8+Hospital+Drive,+Abilene,+TX,+79606,+USA/",LH:NYSE,,10
36869,Labcorp Abington,40.116315,-75.120749,"1151 Old York Road Ste 102, Abington, PA, 19001",1151 Old York Road Ste 102,Abington,PA,19001,Montgomery,215-277-1033,215-885-0659,monday-friday 7:00a-3:00pm saturday 7:00a-11:00a,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/1151+Old+York+Road+Ste+102,+Abington,+PA,+19001,+USA/",LH:NYSE,,10
3135,Labcorp Absecon,39.475098,-74.541987,"310 Chris Gaupp Dr Ste 100, Absecon, NJ, 08205",310 Chris Gaupp Dr Ste 100,Absecon,NJ,8205,Atlantic,609-748-4265,609-748-4266,m-fr 6:30a-2:00pm sa 7:00a-11:00a drug screens: m-fr 8:00a-1:00p | sa 8:00a-10:00a,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/310+Chris+Gaupp+Dr+Ste+100,+Absecon,+NJ,+08205,+USA/",LH:NYSE,,3
29980,Labcorp Agoura Hills,34.140911,-118.74244,"28240 Agoura Road Suite 204, Agoura Hills, CA, 91301",28240 Agoura Road Suite 204,Agoura Hills,CA,91301,Los Angeles,818-707-1552,818-707-1857,monday-friday 8:00am-3:30pm lunch 12:00p-1:00pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/28240+Agoura+Road+Suite+204,+Agoura+Hills,+CA,+91301,+USA/",LH:NYSE,,5
27392,Labcorp Aiken,33.491151,-81.747032,"430 Society Hill Drive, Aiken, SC, 29803",430 Society Hill Drive,Aiken,SC,29803,Aiken,803-502-5035,,m-f 8am to 4:30pm closed from 12:30 to 1:30,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/430+Society+Hill+Drive,+Aiken,+SC,+29803,+USA/",LH:NYSE,,5
27391,Labcorp Aiken,33.576912,-81.765648,"302 University Parkway, Aiken, SC, 29801",302 University Parkway,Aiken,SC,29801,Aiken,803-641-5165,,mon-fri 8am to 4:30pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/302+University+Parkway,+Aiken,+SC,+29801,+USA/",LH:NYSE,,7
27856,Labcorp Aiken,33.572388,-81.765315,"410 University Pkwy Ste 1500b, Aiken, SC, 29801",410 University Pkwy Ste 1500b,Aiken,SC,29801,Aiken,803-641-2295,803-641-3153,mon-fri 7:30am-5:00pm closed lunch 12:30p-1:30p | drug screens 10:00a-12:00p | 2:00p-4:00p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/410+University+Pkwy+Ste+1500b,+Aiken,+SC,+29801,+USA/",LH:NYSE,,2
36670,Labcorp Akron,41.112941,-81.577041,"1925 West Market St, Akron, OH, 44313",1925 West Market St,Akron,OH,44313,Summit,234-222-5059,330-835-9834,mon-fri 7:ooam-4:00pm drug screens 7:00am-3:00pm lunch 12:00p-1:00p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,05/01/2022,USA,Open,"https://www.google.com/maps/dir/Current+Location/1925+West+Market+St,+Akron,+OH,+44313,+USA/",LH:NYSE,,6
