Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Fax,Open Hours,URL,Provider,Updated Date,Country,Status,Direction URL,Stock Ticker,Photo Reference,Allergy Region
31215,Labcorp Aberdeen,46.981164,-123.846388,"1020 Anderson Dr Suite 201, Aberdeen, WA, 98520",1020 Anderson Dr Suite 201,Aberdeen,WA,98520,Grays Harbor,360-533-4530,360-533-2343,monday-friday 7:30am-4:30pm lunch 12:00p-1:00pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/1020+Anderson+Dr+Suite+201,+Aberdeen,+WA,+98520,+USA/",LH:NYSE,ATtYBwJK8yPlg4LBU08rg9QnFppDJXUwYBSIi6LGP40XNsCyd_n5gVANlplvbSit_Yf6uAAP2y0owAU8YquA1Zmg_hFVrBiJJ_OOn5-tJt7eiVfIAtOJz8UEJFrYCrEXiyYQANEhbpPB5g58yB0uN4dGp2WwBnej2OQUZ6OypU_3ohCm7CTO,17
830,Labcorp Altoona,40.521441,-78.397956,"615 Howard Ave 1st Fl, Altoona, PA, 16601",615 Howard Ave 1st Fl,Altoona,PA,16601,Blair,814-943-3115,814-943-7754,mon-fri 7:00am-4:00pm no drug scrs after 3:30pm sat 7:00am-11am,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/615+Howard+Ave+1st+Fl,+Altoona,+PA,+16601,+USA/",LH:NYSE,ATtYBwKUeXyY7D4Kin21oMqu6ngy6sxdB8S3yQX28MgvHbAOVoEIEN5ACrexTqlNG-wXLhQN_ZJXOrAxvcxqnshOTsfJzon_Wira7-zulx_r-pNjRgxUF7RHRuTn1VQgH9MpMRF4V0zPIrlxSmSdEgJvRpLFHELsdIjpEjcydIZC3TfX695y,1
7025,Labcorp Amarillo,35.192685,-101.914575,"1901 Medi Park Dr Ste 2062, Amarillo, TX, 79106",1901 Medi Park Dr Ste 2062,Amarillo,TX,79106,Potter,806-359-8567,806-353-0246,mon-fri 7:30a-5:30p | drug screens 8:00a-4:30p | biometrics 8:00a-5:00p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/1901+Medi+Park+Dr+Ste+2062,+Amarillo,+TX,+79106,+USA/",LH:NYSE,ATtYBwLnF3dmfeMgeGILKYnDxoztxqwjXDp-znxnthKBqK4oPlNHUUOqkMp0gzhyQTq3oV3ClBuk8CZUYgWpNbDaaKajfkLr-Q0DMXCNCtAhDzFw46hULXcVmHxOgMaMxkMAnKvD8LZAh5VjGG52Y5U0w-llwmfoGNfzVZe_eqzNvbkZKZ26,10
7100,Labcorp Amarillo,35.201031,-101.921903,"1301 S Coulter St Ste 105, Amarillo, TX, 79106",1301 S Coulter St Ste 105,Amarillo,TX,79106,Potter,806-354-8430,806-354-8471,mon-fri 8:00am-5:00pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/1301+S+Coulter+St+Ste+105,+Amarillo,+TX,+79106,+USA/",LH:NYSE,ATtYBwLnF3dmfeMgeGILKYnDxoztxqwjXDp-znxnthKBqK4oPlNHUUOqkMp0gzhyQTq3oV3ClBuk8CZUYgWpNbDaaKajfkLr-Q0DMXCNCtAhDzFw46hULXcVmHxOgMaMxkMAnKvD8LZAh5VjGG52Y5U0w-llwmfoGNfzVZe_eqzNvbkZKZ26,10
36311,Labcorp Americus,32.073379,-84.221336,"733 E Forsyth St, Americus, GA, 31709",733 E Forsyth St,Americus,GA,31709,Sumter,229-702-7454,229-928-3387,mon-fri 8:00a-4:30p | lunch 12:30p-1:30p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/733+E+Forsyth+St,+Americus,+GA,+31709,+USA/",LH:NYSE,ATtYBwIfRw2ERynzcHRYQotqBfZi8nVkWCW_IEPp5L5ebi7TvfGhOQy4eygnol0OYPrMkyA4Ux9O0rSNxOjvKMcPH5vHRFEa1EyQrU5bJAHVRIVPBaOaB16QiFRg6uDZKpaZ4958bWmrQm5Ef0rCWAa1cgtnMWk0J0sSPHVYGt6m3DyhTLo3,3
36524,Labcorp Anderson,40.112442,-85.652823,"320 S Scaterfield Rd, Anderson, IN, 46012",320 S Scaterfield Rd,Anderson,IN,46012,Madison,765-840-4555,765-643-0464,mon-fri 8:00am-4:30pm closed lunch 12:00pm-1:00p | drug screen 8:30am-11:30a hours 1:00pm-4:00pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/320+S+Scaterfield+Rd,+Anderson,+IN,+46012,+USA/",LH:NYSE,ATtYBwLxuyAWnphkwjcqrQD5hI1OMtUf__NmF71QNhStHb_Z8atXUAGfSEl5yzExf09J5ZOjmZD3f7-2HSvaisTMYcqEjVxwgbPTedLBR_CHL6Q0wBIohW7SyTc3NebDoP-qdWMdxBPdEQygAd2hu4hTOpniqMbeFv8Nu7BZcEuq61yOVbID,5
23377,Labcorp Angola,41.654961,-85.013604,"3250 Intertech Dr Ste C, Angola, IN, 46703",3250 Intertech Dr Ste C,Angola,IN,46703,Steuben,260-624-3105,260-665-7509,mon-fri 7:00am-4:00pm lunch 12:00p-1:00p | no drug scrns,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/3250+Intertech+Dr+Ste+C,+Angola,+IN,+46703,+USA/",LH:NYSE,ATtYBwK7cb9DRJpW8sKUr_a21TbiUKwS6Q5pOOl05_WM8-JY9nhKC5Gu-bBWqhqlTkDgxKGEyO9ukPh0o5Hp1WmedCNiTxkQXDZG55d8EGcUgr2MX1Brp-eZg_c5lqNSpC8UUc4ia1DLWVB6AUXyp2sORQcSEDM5kYU7HH_4UwYGQ0SZrNJ7,5
35633,Labcorp Ann Arbor,42.261175,-83.736625,"1000 E Stadium, Ann Arbor, MI, 48104",1000 E Stadium,Ann Arbor,MI,48104,Washtenaw,734-228-3454,833-420-0016,mon - fri 8:00am-5:00pm lunch close 12:00pm-1:00p | drug screens 8:00am-11:00a 1:00pm-4:00pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/1000+E+Stadium,+Ann+Arbor,+MI,+48104,+USA/",LH:NYSE,ATtYBwIEIEEpMk9eP-scf9B8GVRkvbWfWXO5HrXgIL_8FPqmiHe3lAx1YBpmAbT0jx6oHD_4MIDkZPkuR9y_mbMy7CwxUkiiUkzm8u82bel9UQEwtcled1PZsE3reCZrehXJJ5rbCBYAD25Jz8FOSrj7SDaKGERcat9m7_sYMNqXqFjpzSeg,7
27784,Labcorp Asheboro,35.715042,-79.811364,"610 N Fayetteville St Ste 110, Asheboro, NC, 27203",610 N Fayetteville St Ste 110,Asheboro,NC,27203,Randolph,336-633-4626,336-633-4797,mon-fri 8:00a-5:00p | closed lunch 1:00p-2:00p | drug screens 8:30a-12:30p | drug screens 2:00p-4:30p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/610+N+Fayetteville+St+Ste+110,+Asheboro,+NC,+27203,+USA/",LH:NYSE,ATtYBwLkUs-LPcbM2zALo5kgJsn1hy3mOWyTaxpygMDgC_p5LtYHqsMOA10x-XCgo7ghM3fjG9H6vs35TrcfmuLK4uezUVqpOTqiTUndy849oSdHu-uDL77xCdLinsUzm9tguab-GeU2bUOBfswRyjlqmwbf62N1ZInS1dpNhPm-PKNvcRRX,2
27164,Labcorp Auburn,32.631439,-85.450785,"1518-B Professional Pkwy, Auburn, AL, 36830",1518-B Professional Pkwy,Auburn,AL,36830,Lee,334-501-9700,334-501-9702,mon-fr 7:30am-4:00pm lunch 12:30p-1:30p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/1518-B+Professional+Pkwy,+Auburn,+AL,+36830,+USA/",LH:NYSE,ATtYBwJuZnPfs921tROpK1Tu0O58ArYMK-B5iK2fgU3NbDMF0on2Gdo5U6667KailqK2_J8ArjjDqCAYKbmSc26QYaYw844Wmb75tEVMM8kmvo-6OKYVbTC8vLmVJuvArGiVUdCdf0jlNJFGQFqaAbxPxgignLCBZo3r42-jNWEjcubZBvlC,6
