Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Fax,Open Hours,URL,Provider,Updated Date,Country,Status,Direction URL,Stock Ticker,Photo Reference,Allergy Region
830,Labcorp Altoona,40.521441,-78.397956,"615 Howard Ave 1st Fl, Altoona, PA, 16601",615 Howard Ave 1st Fl,Altoona,PA,16601,Blair,814-943-3115,814-943-7754,mon-fri 7:00am-4:00pm no drug scrs after 3:30pm sat 7:00am-11am,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/615+Howard+Ave+1st+Fl,+Altoona,+PA,+16601,+USA/",LH:NYSE,ATtYBwKUeXyY7D4Kin21oMqu6ngy6sxdB8S3yQX28MgvHbAOVoEIEN5ACrexTqlNG-wXLhQN_ZJXOrAxvcxqnshOTsfJzon_Wira7-zulx_r-pNjRgxUF7RHRuTn1VQgH9MpMRF4V0zPIrlxSmSdEgJvRpLFHELsdIjpEjcydIZC3TfX695y,1
3326,Labcorp Auburn,42.934268,-76.568682,"37 W Garden St Ste 204, Auburn, NY, 13021",37 W Garden St Ste 204,Auburn,NY,13021,Cayuga,315-252-2332,315-252-3222,Monday-Friday 7:30a-3:30p | lunch 12p-1p | drug screens Monday-Friday 7:30a-11:00a 1:00p-2:30p | sat 7:00a-11:00a,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/37+W+Garden+St+Ste+204,+Auburn,+NY,+13021,+USA/",LH:NYSE,ATtYBwI0cZjrOdlV6CZ9Ky3UHJetRqvCa3_n6j8DoHk8fODoziDPRlv3T6jBPywWmYhP3riLEGBTYqDvKJc0IlujpwiVcZTl9r5ks8SaEAHiULg4i_seVxE1W9nrb_hiiGkX4lfsiY_3bb20E4N9KOkn_UckA5JvKPZrH_XxCbp3wME2GR6T,1
35612,Labcorp Bangor,44.820112,-68.776211,"543 Broadway, Bangor, ME, 04401",543 Broadway,Bangor,ME,4401,Penobscot,207-922-1300,207-217-6742,sun-saturday 8:00a-8:00p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/543+Broadway,+Bangor,+ME,+04401,+USA/",LH:NYSE,ATtYBwLjZIuZtT0h1SrqKg4J4JHdTgdOS2WaQWkgxJ2F0oHt_M2bpLN1mors42FByx8ZuSNX864KrZ1aD4V2eY1kL2tA9xcpUcNxKZQBXTCsiPl1JmaaKaZXTceieGtqoG7ddebySkrh_SM2f21DiT0UIkZ0fZMDvcWWctfHerWITS8QHFTn,99
35612,Labcorp Bangor,44.820112,-68.776211,"543 Broadway, Bangor, ME, 04401",543 Broadway,Bangor,ME,4401,Penobscot,207-922-1300,207-217-6742,sun-saturday 8:00a-8:00p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/543+Broadway,+Bangor,+ME,+04401,+USA/",LH:NYSE,,1
33796,Labcorp Bellaire,44.960223,-85.198663,"4955 M88 Hwy, Bellaire, MI, 49615",4955 M88 Hwy,Bellaire,MI,49615,Antrim,231-533-9315,231-533-9312,mon-fri 9:00am-5:oopm sa 9:00am-1:00pm drug scrs 9:00am-5:00pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/4955+M88+Hwy,+Bellaire,+MI,+49615,+USA/",LH:NYSE,ATtYBwI_XENFsMxDqJOR1sw5sb0b6qid08ILdFiX_LcYKkQly12XWglsilyds7W7z5EyVXFWCzmXa6KQXu_278emqWv-7HpxzBl-0NVnkk3sPxctMe4ImFsTw_oleuMwUH7iVvprNI1hbenXh3HUqh8ED4QzJhtsALmUsSx6OSIa4rJOvJ4I,7
35587,Labcorp Bloomington,40.502271,-88.953031,"1525 N Veterans Parkway, Bloomington, IL, 61704",1525 N Veterans Parkway,Bloomington,IL,61704,McLean,309-884-2500,309-665-0014,mon-fri 7:00am-3:30pm lunch 12-1:00pm sat 7:00am-11:00a drug screens 7:00am-11:30a drug screens 1:00pm-3:00pm,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/1525+N+Veterans+Parkway,+Bloomington,+IL,+61704,+USA/",LH:NYSE,ATtYBwIddxMeKeuKtdxLhoR02i9cqdiN5fdgQtS8Zu9pnfmnafTxpZQ-6hxC75aImFOBemisvp9MlE_YtPPEShp51oeT_ACb2juvu2lvcwznVKQG5fPuJw8I8wVTptv6D4jUsuiM8mIl5hzgsIboD2RUdYonvqMSVqAhyWiOzvnr6MAWpWWB,8
31083,Labcorp Broomfield,39.95581,-104.993671,"14300 Orchard Pky, Broomfield, CO, 80023",14300 Orchard Pky,Broomfield,CO,80023,Broomfield,303-255-6874,303-255-6014,mon-fri 7:30am-5:00pm closed lunch 12:00p-1:00p | sat 8:00am-12:00p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/14300+Orchard+Pky,+Broomfield,+CO,+80023,+USA/",LH:NYSE,ATtYBwJqXp6Zf1o-FXNPUD-d_AVFZmQeSziiZ_oeaxTWEPGj1a1i-tsiXpaR0C-zCQ_hIui7aQqbeM7LmjugT_YcSn8pEZ3cxBLDQe3TW41TVF8hJHfQy7N8_pg486TfxBFldEthSOBaF7SbR8b5HX_WwITTlcFg4XRwyQwwI9J-qzA9OwE,11
35611,Labcorp Brunswick,43.907906,-69.915258,"193 Bath Road, Brunswick, ME, 04011",193 Bath Road,Brunswick,ME,4011,Cumberland,207-424-2272,207-424-2272,sun-saturday 8:00a-8:00p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/193+Bath+Road,+Brunswick,+ME,+04011,+USA/",LH:NYSE,ATtYBwLkS0EzdoCL8GNxCzBstgq5CGgcTj4oSrnwsWNOw5Aof-PlwEIQGDBq_qcNesXqVzbLHKggoJmvSbY8aJTb3dSRspPr1ZRE45sX2T17mEDSkB1MPVwMLLV89X6tH-fz2MTMRuZluzIj0mT8TXNhbTOn_Rek-2kOFnnvhyi5IAlulqF0,99
35611,Labcorp Brunswick,43.907906,-69.915258,"193 Bath Road, Brunswick, ME, 04011",193 Bath Road,Brunswick,ME,4011,Cumberland,207-424-2272,207-424-2272,sun-saturday 8:00a-8:00p,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/193+Bath+Road,+Brunswick,+ME,+04011,+USA/",LH:NYSE,,1
23402,Labcorp Cadiz,40.256657,-80.978172,"951 East Market Street, Cadiz, OH, 43907",951 East Market Street,Cadiz,OH,43907,Harrison,740-942-6213,740-942-8623,monday-friday 8:00am-7:00pm saturday 8:00am-noon,https://www.labcorp.com/labs-and-appointments-advanced-search,LabCorp,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/951+East+Market+Street,+Cadiz,+OH,+43907,+USA/",LH:NYSE,ATtYBwKrof2g1Ec84UIhjU_0n72oT2OGmEHiAhhsVli4fJeHjQvc_FfiZ_5nylVSEQNxE5t5fm8MLZmgsDmxwiCU5bEGwf-6klcmuWsmO_npujVNfOU9m1bQNQ90Px0kPdqpptiZJ33wereOVMGa5r63iiNZHoHNVMZBO1BXDbtmKkvsgd8L,5
