Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Fax,Open Hours,URL,Provider,Updated Date,Country,Status,Direction URL,Stock Ticker,Photo Reference,Allergy Region
QFY,Quest Diagnostics - Anniston,33.6557816,-85.8248606,"901 Leighton Avenue Ste 302, Anniston, AL, 36207",901 Leighton Avenue Ste 302,Anniston,AL,36207,Calhoun,256-238-1279,256-238-1280,m-th 8:00 am-12:00 pm & 1:00 pm-4:00 pm|f 8:00 am-12:00 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/901+Leighton+Avenue+Ste+302,+Anniston,+AL,+36207,+USA/",DGX:NYSE,ATtYBwLu-fTmwQ9eBhiEfYToh4Bos40YVAXspv9zARc7b9fTWIFdZA2OWWi05nEkIZfySGGHWPe-jAcHWofOi_FgfMvXrLtLkrETldrXRGYpqMGF81WbjRt4BiuPntgEMLHPsHGRHnj4TN4f2kOnVGfG9Rl90IX6LcX32kati0vtQ2voeYRx,6
HNX,Quest Diagnostics - Brookwood Medical Plaza,33.465822,-86.776614,"513 Brookwood Blvd Suite 506 Brookwood Medical Plaza, Birmingham, AL, 35209",513 Brookwood Blvd Suite 506 Brookwood Medical Plaza,Birmingham,AL,35209,Jefferson,205-870-8736,205-414-9954,m-th 8:00 am-5:00 pm|f 8:00 am-3:00 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/513+Brookwood+Blvd+Suite+506+Brookwood+Medical+Plaza,+Birmingham,+AL,+35209,+USA/",DGX:NYSE,ATtYBwKY02znwDN8PjizzrQAKarhCVZWtcIq8-37m144udcDeCrMzU3xn5rmvWe1uCZDHSEYGpn_HLreGcfGHGAnJRbYhgEbK-APXd3yPSYEFnvfKjbK-b0wBH1B8l38kJ3UWPzJDM0sPmJ5-JRZ9pr2A3Gg8JYrw2TpQouNSuVZ0FihXHqL,6
NV,Quest Diagnostics - Decatur,34.590994,-86.969318,"1501 7th St Se, Decatur, AL, 35601",1501 7th St Se,Decatur,AL,35601,Morgan,256-580-3274,256-350-3042,m-th 8:00 am-12:00 pm & 1:00 pm-4:30 pm|f 8:00 am-12:00 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/1501+7th+St+Se,+Decatur,+AL,+35601,+USA/",DGX:NYSE,ATtYBwKrdEh9p4Md7qdzJgXoWaYVu4WerIVrx9o5q8gr7x8iCW2Nj3-l8g1OvAz79bf6X4PgOqvny3l4-YxVq5-VcS0QLV9G7F05ZGO_oPynl6SDMiNUnJAb_Ags7B_wbBX1rig1v68JuVIU8L-3_toeasaIZMuUkhoBnBfmydp-wAfUfpSD,6
QZI,Quest Diagnostics - Foley,30.423878,-87.681872,"1506 N Mckenzie St Ste 106, Foley, AL, 36535",1506 N Mckenzie St Ste 106,Foley,AL,36535,Baldwin,251-952-5050,251-952-5060,m-th 7:00 am-12:00 pm & 1:00 pm-4:00 pm|f 7:00 am-12:00 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/1506+N+Mckenzie+St+Ste+106,+Foley,+AL,+36535,+USA/",DGX:NYSE,ATtYBwI8idR6e38yMW0jqtFbOxp-sr5TyB6krJDSchG1bupDI67rIKnbrtUipQlEVUWKMgcefvv81i9zOoEqKNU1CCjcEiaiwv0OznRAZQNPPEQBzZdV_Hag5sIUPGfNwrGP9bbwkLGLgTd_oK3ivS-4zuDJplMyAYrfqdBp90JGEuVUZPyg,6
UJ4,Quest Diagnostics - Gadsden,34.0053309,-86.0053446,"601 S 4th St Ste A, Gadsden, AL, 35901",601 S 4th St Ste A,Gadsden,AL,35901,Etowah,256-546-4300,256-546-4395,m-th 6:30 am-12:00 pm & 12:30 pm-3:00 pm|f 6:30 am-12:00 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/601+S+4th+St+Ste+A,+Gadsden,+AL,+35901,+USA/",DGX:NYSE,ATtYBwLrWD8NGPvcFq1J9mPa5SMxmG0TzHvu5R4iHcEF76ulyNlw240MqiIfMyb1aK_g_NtFFBwSJ1ZobiZqOhpJT1SRsNNifOSoRRu6KAvrePgwU9pOXlkXa-P9Ruz0K4hDyol9E3ko7TFJkIAT1XIV7j0gHxc3dVNU-pWtfjeBkR_ocAQV,6
QKF,Quest Diagnostics - Huntsville Crestwood,34.6934563,-86.5742672,"250 Chateau Drive Suite 120, Huntsville, AL, 35801",250 Chateau Drive Suite 120,Huntsville,AL,35801,Madison,256-650-8147,256-650-8148,Monday-Friday 7:30 am-4:30 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/250+Chateau+Drive+Suite+120,+Huntsville,+AL,+35801,+USA/",DGX:NYSE,ATtYBwJGcASjZ6aJoqpf8y4KiwpcSPxY7_yM2zJD-CAMTTZa9up9WeGrhVZDRc4IOurgIkOOmIYkBlsgUUJVAgJt-hUxi4ILSgKuKTYfui-Z5O-Wd5VRArS44Yt5qX2dfS8XvPeUvwclsa7JQAI8mnWgs3MJmSyKEsGRMuYv5jQ0bWGm4KHd,6
D6A,Quest Diagnostics - Inside Walmart #332 In Huntsville,34.7467647,-86.6763528,"6140a University Dr Nw, Huntsville, AL, 35806",6140a University Dr Nw,Huntsville,AL,35806,Madison,256-217-4819,256-722-7997,Monday-Friday 7:00 am-4:00 pm|sa 7:00 am-12:00 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/6140a+University+Dr+Nw,+Huntsville,+AL,+35806,+USA/",DGX:NYSE,,6
D6B,Quest Diagnostics - Inside Walmart #4407 In Montgomery,32.3546687,-86.1349495,"10710 Chantilly Pkwy, Montgomery, AL, 36117",10710 Chantilly Pkwy,Montgomery,AL,36117,Montgomery,334-230-7085,334-272-7789,Monday-Friday 7:00 am-4:00 pm|sa 7:00 am-12:00 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/10710+Chantilly+Pkwy,+Montgomery,+AL,+36117,+USA/",DGX:NYSE,,6
HJ7,Quest Diagnostics - Mobile,30.6834888,-88.1706723,"124 South University Blvd, Mobile, AL, 36608",124 South University Blvd,Mobile,AL,36608,Mobile,251-344-3028,251-344-3067,Monday-Friday 7:30 am-12:00 pm & 1:00 pm-4:30 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/124+South+University+Blvd,+Mobile,+AL,+36608,+USA/",DGX:NYSE,ATtYBwJCM1m9TrTrCXrmHLWO2aWLP0U-rQzdcpZws0iCEBCWrFLLNmCYO4kiDR7s7DKjJ2-aWSq1_1uFtNniXWoT1MvlUOglv2hY9QdOWtife6oMm_FvQZkIUMwP-2XX9IjbPKwjHEbtkqugcCWpoTAVy9uIPoHbeombJRkVVN80bjtnrl_x,6
YCI,Quest Diagnostics - Princeton ,33.4988303,-86.8480569,"833 Princeton Av Sw Suite 105q, Birmingham, AL, 35211",833 Princeton Av Sw Suite 105q,Birmingham,AL,35211,Jefferson,205-781-4042,205-781-7079,Monday-Friday 8:00 am-1:00 pm & 1:30 pm-4:30 pm,https://appointment.questdiagnostics.com/patient/findlocation,Quest Diagnostics,2021-05-03,USA,Open,"https://www.google.com/maps/dir/Current+Location/833+Princeton+Av+Sw+Suite+105q,+Birmingham,+AL,+35211,+USA/",DGX:NYSE,ATtYBwL6_WSX0MHhFW2hsZTLuHlBzE9L7lqHgy0NVyzJ0ZGQqP2zEhmid67UCz0Vdh0kQNa93gYOfb6kkstHv-X1_P52_3qhwDWITYiXhaT6QtbVP9ok15FcM3qOOQhbsLwgvawG8dIYyjbdPHFPAt3aucVBvRv3pFnDBBlaLNQpRkrHxxWA,6
